Year,Award,Player/Coach,Team
2069,Legend of the Game,32462,27
2069,Coach of the Year,825,13
2069,Player of the Year,41806,26
2069,Front Office Bowl MVP,35862,10
2069,Offensive Player of the Year,41806,26
2069,Defensive Player of the Year,38010,17
2069,Offensive Rookie of the Year,43434,9
2069,Defensive Rookie of the Year,44116,8
2069,All-League First Team Quarterback,40891,29
2069,All-League First Team Running Back,41806,26
2069,All-League First Team Fullback,43474,24
2069,All-League First Team Tight End,41023,20
2069,All-League First Team Wide Receiver,41976,3
2069,All-League First Team Wide Receiver,36072,11
2069,All-League First Team Center,36114,26
2069,All-League First Team Offensive Guard,41247,13
2069,All-League First Team Offensive Guard,41231,31
2069,All-League First Team Offensive Tackle,37011,9
2069,All-League First Team Offensive Tackle,42913,23
2069,All-League First Team Punter,43797,3
2069,All-League First Team Kicker,35451,3
2069,All-League First Team Defensive End,38010,17
2069,All-League First Team Defensive End,43031,25
2069,All-League First Team Defensive Tackle,41477,6
2069,All-League First Team Defensive Tackle,41429,26
2069,All-League First Team Inside Linebacker,42306,0
2069,All-League First Team Outside Linebacker,40654,30
2069,All-League First Team Outside Linebacker,39012,27
2069,All-League First Team Cornerback,39933,13
2069,All-League First Team Cornerback,43255,14
2069,All-League First Team Safety,39877,10
2069,All-League First Team Safety,43337,28
2069,All-League Second Team Quarterback,33339,19
2069,All-League Second Team Running Back,43434,9
2069,All-League Second Team Fullback,39312,30
2069,All-League Second Team Tight End,39342,19
2069,All-League Second Team Wide Receiver,36872,16
2069,All-League Second Team Wide Receiver,41991,12
2069,All-League Second Team Center,37750,16
2069,All-League Second Team Offensive Guard,41200,2
2069,All-League Second Team Offensive Guard,40340,20
2069,All-League Second Team Offensive Tackle,42922,12
2069,All-League Second Team Offensive Tackle,42136,19
2069,All-League Second Team Punter,42169,5
2069,All-League Second Team Kicker,35470,2
2069,All-League Second Team Defensive End,40525,13
2069,All-League Second Team Defensive End,40551,9
2069,All-League Second Team Defensive Tackle,35565,11
2069,All-League Second Team Defensive Tackle,40590,29
2069,All-League Second Team Inside Linebacker,36435,13
2069,All-League Second Team Outside Linebacker,39826,17
2069,All-League Second Team Outside Linebacker,38948,22
2069,All-League Second Team Cornerback,40782,2
2069,All-League Second Team Cornerback,41626,13
2069,All-League Second Team Safety,41689,13
2069,All-League Second Team Safety,39120,4
2069,League's Fastest Man,35229,3
2069,League's Strongest Man,37055,3
2068,Legend of the Game,33537,10
2068,Coach of the Year,792,10
2068,Player of the Year,39219,8
2068,Front Office Bowl MVP,35862,10
2068,Offensive Player of the Year,39219,8
2068,Defensive Player of the Year,40525,13
2068,Offensive Rookie of the Year,42648,0
2068,Defensive Rookie of the Year,43255,14
2068,All-League First Team Quarterback,39219,8
2068,All-League First Team Running Back,39274,9
2068,All-League First Team Fullback,37586,7
2068,All-League First Team Tight End,40175,27
2068,All-League First Team Wide Receiver,40282,31
2068,All-League First Team Wide Receiver,34359,4
2068,All-League First Team Center,40290,9
2068,All-League First Team Offensive Guard,37830,11
