Year,Game_ID,Week,Visitor_Score,Visitor_Team,Home_Score,Home_Team,Attendance,Weather,Temperature,Wind,Visitor_Quarterback,Home_Quarterback,Visitor_Running_Back,Home_Running_Back,Visitor_Receiver,Home_Receiver,Visitor_QB_Pass_Attempts,Visitor_QB_Completions,Visitor_QB_Passing_Yardage,Home_QB_Pass_Attempts,Home_QB_Completions,Home_QB_Passing_Yardage,Visiting_Leader_Rushes,Visiting_Leader_Rushing_Yardage,Home_Leader_Rushes,Home_Leader_Rushing_Yardage,Visiting_Leader_Receptions,Visiting_Leader_Receiving_Yardage,Home_Leader_Receptions,Home_Leader_Receiving_Yardage
2069,0,Ex. Season Week 1,20,10,16,23,73100,Sunny,72,1,42555,33313,37530,40105,36881,39377,15,8,97,30,20,150,19,165,20,29,6,36,8,109
2069,1,Ex. Season Week 1,13,17,14,6,67000,Sunny,68,0,40027,39223,35872,42632,37628,41921,23,12,73,18,9,89,9,60,26,124,3,22,4,38
2069,2,Ex. Season Week 2,23,2,6,1,57100,Sunny,77,4,34195,32457,39270,32457,38522,36876,29,17,179,22,8,69,23,58,4,33,11,100,4,45
2069,3,Ex. Season Week 2,45,30,17,4,77500,Sunny,88,12,40864,42570,40076,42626,41956,34359,29,15,138,33,15,147,28,226,6,23,4,37,10,93
2069,4,Ex. Season Week 2,7,3,30,10,76600,Sunny,56,5,41757,35862,42623,37530,41976,38498,37,17,160,13,7,81,23,71,26,119,9,67,4,40
2069,5,Ex. Season Week 2,41,23,17,25,75600,Sunny,49,0,33313,40053,40105,42645,37749,34432,25,19,200,34,17,176,22,111,12,84,7,96,7,65
2069,6,Ex. Season Week 2,3,6,17,27,22200,Rain,89,12,42559,32462,42632,39268,42802,40226,28,14,85,14,10,141,14,59,28,106,2,31,3,58
2069,7,Ex. Season Week 2,22,8,10,26,43900,Sunny,59,8,35856,38344,40062,41806,39336,36083,22,13,135,25,17,107,20,168,18,109,6,99,9,63
2069,8,Ex. Season Week 2,20,31,17,7,59100,Stormy,79,18,42574,37490,43431,40971,40282,39390,12,11,114,30,18,135,9,65,12,63,8,84,8,83
2069,9,Ex. Season Week 2,6,11,9,29,70100,Sunny,68,0,40895,38339,40102,40077,34361,42798,22,12,72,40,24,259,7,57,12,44,2,23,7,103
2069,10,Ex. Season Week 2,17,12,33,21,64700,Sunny,68,0,40017,36636,40933,42607,41991,36057,30,17,161,19,12,176,14,90,19,152,6,73,5,93
2069,11,Ex. Season Week 2,19,13,16,24,78400,Sunny,58,1,40036,39998,41810,42594,40269,36803,32,17,130,33,17,128,16,144,17,75,3,51,5,57
