Category,Team/All_Teams,Place,Player,Record,Year,Team,Opponent
Quarterback Rating,0,0,14026,1269,2040,0,4
Quarterback Rating,0,1,14026,1169,2048,0,5
Quarterback Rating,0,2,14026,1158,2044,0,15
Quarterback Rating,0,3,14026,1130,2040,0,29
Quarterback Rating,0,4,14026,1115,2040,0,15
Quarterback Rating,0,5,14026,1086,2046,0,18
Quarterback Rating,0,6,14026,1038,2046,0,24
Quarterback Rating,0,7,14026,955,2043,0,21
Quarterback Rating,0,8,14026,944,2040,0,11
Quarterback Rating,0,9,14026,938,2038,0,18
Quarterback Rating,0,10,32452,916,2064,0,17
Quarterback Rating,0,11,32452,874,2061,0,18
Quarterback Rating,0,12,14026,866,2039,0,4
Quarterback Rating,0,13,32452,833,2062,0,18
Quarterback Rating,0,14,14026,824,2039,0,29
Quarterback Rating,0,15,8262,815,2035,0,10
Quarterback Rating,0,16,32452,801,2062,0,10
Quarterback Rating,0,17,1529,762,2022,0,15
Quarterback Rating,0,18,28292,748,2058,0,27
Quarterback Rating,0,19,28292,730,2059,0,7
Quarterback Rating,0,20,28292,705,2056,0,7
Quarterback Rating,0,21,14026,676,2045,0,21
Quarterback Rating,0,22,14026,673,2041,0,21
Quarterback Rating,0,23,14026,651,2048,0,10
Quarterback Rating,0,24,1529,633,2022,0,25
Quarterback Rating,0,25,14026,610,2044,0,7
Quarterback Rating,0,26,14026,580,2043,0,15
Quarterback Rating,0,27,1529,560,2024,0,25
Quarterback Rating,0,28,8262,525,2036,0,10
Quarterback Rating,0,29,32452,479,2064,0,10
Quarterback Rating,0,30,32452,333,2069,0,27
Pass Attempts,0,0,14026,56,2043,0,15
Pass Attempts,0,1,32452,54,2062,0,18
Pass Attempts,0,2,32452,51,2064,0,10
Pass Attempts,0,3,14026,49,2039,0,4
Pass Attempts,0,4,32452,49,2062,0,10
Pass Attempts,0,5,28292,48,2059,0,7
Pass Attempts,0,6,14026,47,2038,0,18
Pass Attempts,0,7,28292,46,2058,0,27
Pass Attempts,0,8,14026,45,2046,0,24
Pass Attempts,0,9,14026,45,2048,0,10
Pass Attempts,0,10,14026,44,2041,0,21
Pass Attempts,0,11,1529,43,2022,0,15
Pass Attempts,0,12,8262,43,2035,0,10
Pass Attempts,0,13,14026,42,2046,0,18
Pass Attempts,0,14,32452,42,2061,0,18
Pass Attempts,0,15,8262,41,2036,0,10
Pass Attempts,0,16,32452,41,2069,0,27
Pass Attempts,0,17,14026,40,2044,0,15
Pass Attempts,0,18,14026,39,2044,0,7
Pass Attempts,0,19,14026,39,2045,0,21
Pass Attempts,0,20,14026,38,2040,0,15
Pass Attempts,0,21,14026,37,2040,0,11
Pass Attempts,0,22,14026,35,2039,0,29
Pass Attempts,0,23,32452,33,2064,0,17
Pass Attempts,0,24,14026,32,2048,0,5
Pass Attempts,0,25,28292,31,2056,0,7
Pass Attempts,0,26,1529,30,2024,0,25
Pass Attempts,0,27,14026,29,2040,0,29
Pass Attempts,0,28,1529,27,2022,0,25
Pass Attempts,0,29,14026,27,2043,0,21
Pass Attempts,0,30,14026,24,2040,0,4
Pass Attempts,0,31,30776,3,2056,0,7
Pass Completions,0,0,32452,35,2062,0,18
Pass Completions,0,1,14026,33,2039,0,4
Pass Completions,0,2,14026,32,2046,0,18
Pass Completions,0,3,32452,32,2062,0,10
Pass Completions,0,4,14026,30,2044,0,15
Pass Completions,0,5,14026,30,2046,0,24
Pass Completions,0,6,14026,29,2043,0,15
Pass Completions,0,7,28292,29,2059,0,7
Pass Completions,0,8,32452,29,2064,0,10
Pass Completions,0,9,14026,28,2038,0,18
Pass Completions,0,10,32452,28,2061,0,18
Pass Completions,0,11,14026,27,2040,0,15
Pass Completions,0,12,14026,27,2048,0,10
Pass Completions,0,13,28292,27,2058,0,27
Pass Completions,0,14,1529,26,2022,0,15
Pass Completions,0,15,8262,26,2035,0,10
Pass Completions,0,16,14026,24,2040,0,11
Pass Completions,0,17,14026,24,2043,0,21
Pass Completions,0,18,14026,23,2041,0,21
Pass Completions,0,19,14026,23,2048,0,5
Pass Completions,0,20,14026,22,2039,0,29
Pass Completions,0,21,32452,22,2064,0,17
Pass Completions,0,22,8262,21,2036,0,10
Pass Completions,0,23,14026,21,2040,0,29
Pass Completions,0,24,14026,19,2044,0,7
Pass Completions,0,25,14026,19,2045,0,21
Pass Completions,0,26,32452,19,2069,0,27
Pass Completions,0,27,28292,18,2056,0,7
Pass Completions,0,28,1529,17,2024,0,25
Pass Completions,0,29,14026,14,2040,0,4
Pass Completions,0,30,1529,13,2022,0,25
Pass Completions,0,31,30776,2,2056,0,7
Completion Percentage,0,0,14026,889,2043,0,21
Completion Percentage,0,1,14026,762,2046,0,18
Completion Percentage,0,2,14026,750,2044,0,15
Completion Percentage,0,3,14026,724,2040,0,29
Completion Percentage,0,4,14026,719,2048,0,5
Completion Percentage,0,5,14026,711,2040,0,15
Completion Percentage,0,6,14026,673,2039,0,4
Completion Percentage,0,7,14026,667,2046,0,24
Completion Percentage,0,8,32452,667,2061,0,18
Completion Percentage,0,9,32452,667,2064,0,17
Completion Percentage,0,10,32452,653,2062,0,10
Completion Percentage,0,11,14026,649,2040,0,11
Completion Percentage,0,12,32452,648,2062,0,18
Completion Percentage,0,13,14026,629,2039,0,29
Completion Percentage,0,14,1529,605,2022,0,15
Completion Percentage,0,15,8262,605,2035,0,10
Completion Percentage,0,16,28292,604,2059,0,7
Completion Percentage,0,17,14026,600,2048,0,10
Completion Percentage,0,18,14026,596,2038,0,18
Completion Percentage,0,19,28292,587,2058,0,27
Completion Percentage,0,20,14026,583,2040,0,4
Completion Percentage,0,21,28292,581,2056,0,7
Completion Percentage,0,22,32452,569,2064,0,10
Completion Percentage,0,23,1529,567,2024,0,25
Completion Percentage,0,24,14026,523,2041,0,21
Completion Percentage,0,25,14026,518,2043,0,15
Completion Percentage,0,26,8262,512,2036,0,10
Completion Percentage,0,27,14026,487,2044,0,7
Completion Percentage,0,28,14026,487,2045,0,21
Completion Percentage,0,29,1529,481,2022,0,25
Completion Percentage,0,30,32452,463,2069,0,27
Passing Yards,0,0,8262,360,2035,0,10
Passing Yards,0,1,14026,359,2046,0,24
Passing Yards,0,2,14026,332,2044,0,15
Passing Yards,0,3,14026,315,2038,0,18
Passing Yards,0,4,32452,305,2064,0,10
Passing Yards,0,5,14026,301,2048,0,10
Passing Yards,0,6,14026,298,2040,0,15
Passing Yards,0,7,32452,298,2062,0,10
Passing Yards,0,8,32452,293,2062,0,18
Passing Yards,0,9,14026,292,2043,0,15
Passing Yards,0,10,1529,285,2022,0,15
Passing Yards,0,11,14026,279,2040,0,4
Passing Yards,0,12,8262,276,2036,0,10
Passing Yards,0,13,14026,274,2046,0,18
Passing Yards,0,14,28292,263,2058,0,27
Passing Yards,0,15,14026,262,2048,0,5
Passing Yards,0,16,14026,260,2040,0,11
Passing Yards,0,17,28292,257,2059,0,7
Passing Yards,0,18,14026,254,2039,0,4
Passing Yards,0,19,32452,240,2061,0,18
Passing Yards,0,20,14026,235,2039,0,29
Passing Yards,0,21,14026,229,2041,0,21
Passing Yards,0,22,32452,227,2069,0,27
Passing Yards,0,23,32452,209,2064,0,17
Passing Yards,0,24,14026,192,2040,0,29
Passing Yards,0,25,14026,187,2043,0,21
Passing Yards,0,26,14026,172,2044,0,7
Passing Yards,0,27,28292,169,2056,0,7
Passing Yards,0,28,14026,154,2045,0,21
Passing Yards,0,29,1529,148,2024,0,25
Passing Yards,0,30,1529,137,2022,0,25
Passing Yards,0,31,30776,10,2056,0,7
Yards per Pass Attempt,0,0,14026,1163,2040,0,4
Yards per Pass Attempt,0,1,8262,837,2035,0,10
Yards per Pass Attempt,0,2,14026,830,2044,0,15
