Staff_ID,Year,Role,Wins,Losses,Ties,Playoffs,Team
0,2020,Head Coach,6,10,0,None,0
0,2021,Head Coach,7,9,0,None,0
0,2027,Assistant Coach,4,12,0,None,5
0,2028,Offensive Coordinator,7,8,1,None,5
0,2029,Offensive Coordinator,8,8,0,None,5
0,2030,Offensive Coordinator,4,12,0,None,5
0,2031,Head Coach,7,9,0,None,5
0,2032,Head Coach,3,13,0,None,5
0,2033,Head Coach,6,10,0,None,5
0,2034,Assistant Coach,6,10,0,None,30
0,2035,Assistant Coach,8,8,0,None,30
0,2036,Assistant Coach,6,10,0,None,30
0,2037,Assistant Coach,7,9,0,None,30
0,2038,Assistant Coach,8,8,0,None,30
0,2039,Assistant Coach,11,7,0,Division,30
0,2040,Assistant Coach,9,8,0,Wild Card,30
0,2041,Assistant Coach,4,12,0,None,30
0,2042,Assistant Coach,5,11,0,None,30
0,2043,Assistant Coach,4,12,0,None,30
0,2044,Assistant Coach,7,9,0,None,30
0,2045,Assistant Coach,7,9,0,None,30
0,2046,Assistant Coach,5,11,0,None,30
0,2047,Assistant Coach,9,8,0,Wild Card,30
0,2048,Assistant Coach,4,12,0,None,30
0,2049,Assistant Coach,8,7,1,None,30
0,2050,Assistant Coach,4,12,0,None,30
1,2020,Offensive Coordinator,6,10,0,None,0
1,2021,Offensive Coordinator,7,9,0,None,0
1,2022,Offensive Coordinator,11,6,1,Division,0
2,2020,Defensive Coordinator,6,10,0,None,0
2,2021,Defensive Coordinator,7,9,0,None,0
2,2022,Defensive Coordinator,11,6,1,Division,0
2,2023,Defensive Coordinator,7,9,0,None,0
2,2024,Defensive Coordinator,11,6,0,Division,0
2,2025,Defensive Coordinator,2,14,0,None,0
2,2026,Defensive Coordinator,6,10,0,None,0
2,2027,Defensive Coordinator,5,11,0,None,0
2,2028,Defensive Coordinator,4,12,0,None,0
2,2029,Defensive Coordinator,10,6,1,Division,27
2,2030,Defensive Coordinator,3,13,0,None,27
2,2031,Defensive Coordinator,6,9,1,None,27
2,2032,Defensive Coordinator,8,8,0,None,21
2,2033,Defensive Coordinator,9,7,0,None,21
2,2034,Defensive Coordinator,8,8,0,None,21
2,2035,Defensive Coordinator,5,11,0,None,21
2,2036,Defensive Coordinator,6,10,0,None,21
2,2037,Defensive Coordinator,6,10,0,None,21
2,2038,Defensive Coordinator,3,13,0,None,21
3,2020,Assistant Coach,6,10,0,None,0
3,2021,Assistant Coach,7,9,0,None,0
3,2022,Assistant Coach,11,6,1,Division,0
3,2023,Assistant Coach,7,9,0,None,0
3,2024,Assistant Coach,11,6,0,Division,0
3,2025,Assistant Coach,2,14,0,None,0
3,2026,Defensive Coordinator,6,10,0,None,29
3,2027,Head Coach,4,12,0,None,8
3,2028,Head Coach,5,11,0,None,8
3,2029,Head Coach,9,8,0,Wild Card,8
3,2030,Head Coach,8,8,0,None,28
3,2031,Head Coach,15,4,0,Champion,28
3,2032,Head Coach,10,7,0,Wild Card,28
3,2033,Head Coach,10,7,0,Division,28
3,2034,Head Coach,5,10,1,None,28
3,2035,Head Coach,13,6,0,Conference,1
3,2036,Head Coach,9,7,0,None,1
