Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Points Scored,0,0,50,2064,0,26
Points Scored,0,1,49,2047,0,24
Points Scored,0,2,45,2032,0,19
Points Scored,0,3,45,2037,0,24
Points Scored,0,4,45,2043,0,1
Points Scored,0,5,44,2036,0,25
Points Scored,0,6,44,2068,0,26
Points Scored,0,7,43,2042,0,15
Points Scored,0,8,41,2027,0,24
Points Scored,0,9,41,2031,0,25
Points Scored,0,10,41,2035,0,9
Points Scored,0,11,41,2035,0,24
Points Scored,0,12,41,2038,0,23
Points Scored,0,13,41,2045,0,9
Points Scored,0,14,41,2047,0,21
Points Scored,0,15,41,2060,0,24
Points Scored,0,16,41,2061,0,28
Points Scored,0,17,41,2064,0,24
Points Scored,0,18,40,2034,0,23
Points Scored,0,19,40,2039,0,30
Points Scored,0,20,40,2044,0,19
Points Scored,0,21,39,2058,0,13
Points Scored,0,22,38,2042,0,24
Points Scored,0,23,38,2044,0,24
Points Scored,0,24,38,2045,0,1
Points Scored,0,25,38,2060,0,19
Points Scored,0,26,38,2064,0,27
Points Scored,0,27,37,2024,0,24
Points Scored,0,28,37,2033,0,15
Points Scored,0,29,37,2041,0,24
Points Scored,0,30,37,2046,0,23
Points Scored,0,31,37,2050,0,29
Points Scored,0,32,37,2058,0,26
Points Scored,0,33,37,2059,0,30
Points Scored,0,34,37,2061,0,25
Points Scored,0,35,37,2062,0,26
Points Scored,0,36,37,2064,0,25
Points Scored,0,37,37,2067,0,24
Points Scored,0,38,36,2037,0,26
Points Scored,0,39,36,2041,0,29
Points Scored,0,40,35,2021,0,25
Points Scored,0,41,35,2048,0,14
Points Scored,0,42,35,2064,0,29
Points Scored,0,43,34,2021,0,12
Points Scored,0,44,34,2028,0,27
Points Scored,0,45,34,2043,0,26
Points Scored,0,46,34,2044,0,14
Points Scored,0,47,34,2049,0,26
Points Scored,0,48,34,2049,0,21
Points Scored,0,49,34,2052,0,3
Points Scored,0,50,34,2052,0,24
Points Scored,0,51,34,2058,0,8
Points Scored,0,52,34,2058,0,25
Points Scored,0,53,34,2064,0,1
Points Scored,0,54,34,2067,0,25
Points Scored,0,55,34,2069,0,26
Points Scored,0,56,33,2023,0,29
Points Scored,0,57,33,2031,0,5
Points Scored,0,58,33,2038,0,26
Points Scored,0,59,33,2039,0,15
Points Scored,0,60,33,2040,0,26
Points Scored,0,61,33,2041,0,26
Points Scored,0,62,33,2048,0,25
Points Scored,0,63,33,2050,0,24
Points Scored,0,64,33,2059,0,24
Points Scored,0,65,33,2065,0,10
Points Scored,0,66,32,2021,0,21
Points Scored,0,67,32,2036,0,29
Points Scored,0,68,32,2038,0,8
Points Scored,0,69,32,2062,0,26
Points Scored,0,70,31,2022,0,24
Points Scored,0,71,31,2024,0,5
Points Scored,0,72,31,2028,0,1
Points Scored,0,73,31,2029,0,5
Points Scored,0,74,31,2029,0,28
Points Scored,0,75,31,2032,0,10
Points Scored,0,76,31,2033,0,25
Points Scored,0,77,31,2037,0,25
Points Scored,0,78,31,2039,0,9
Points Scored,0,79,31,2041,0,12
Points Scored,0,80,31,2043,0,30
Points Scored,0,81,31,2046,0,8
Points Scored,0,82,31,2047,0,30
Points Scored,0,83,31,2050,0,8
Points Scored,0,84,31,2050,0,18
Points Scored,0,85,31,2051,0,26
Points Scored,0,86,31,2056,0,29
Points Scored,0,87,31,2058,0,27
Points Scored,0,88,31,2065,0,25
Points Scored,0,89,31,2065,0,28
Points Scored,0,90,31,2066,0,8
Points Scored,0,91,31,2069,0,25
Points Scored,0,92,30,2024,0,26
Points Scored,0,93,30,2025,0,24
Points Scored,0,94,30,2032,0,25
Points Scored,0,95,30,2036,0,3
Points Scored,0,96,30,2036,0,14
Points Scored,0,97,30,2036,0,19
Points Scored,0,98,30,2037,0,27
Points Scored,0,99,30,2038,0,7
Points Allowed,0,0,0,2028,0,17
Points Allowed,0,1,0,2043,0,26
Points Allowed,0,2,0,2053,0,25
Points Allowed,0,3,0,2061,0,17
Points Allowed,0,4,0,2065,0,25
Points Allowed,0,5,0,2069,0,26
Points Allowed,0,6,3,2020,0,18
Points Allowed,0,7,3,2020,0,25
Points Allowed,0,8,3,2024,0,24
Points Allowed,0,9,3,2025,0,25
Points Allowed,0,10,3,2031,0,2
Points Allowed,0,11,3,2035,0,24
Points Allowed,0,12,3,2036,0,9
Points Allowed,0,13,3,2037,0,1
Points Allowed,0,14,3,2040,0,4
Points Allowed,0,15,3,2040,0,25
Points Allowed,0,16,3,2041,0,24
Points Allowed,0,17,3,2042,0,9
Points Allowed,0,18,3,2049,0,25
Points Allowed,0,19,3,2055,0,24
Points Allowed,0,20,3,2061,0,24
Points Allowed,0,21,3,2061,0,24
Points Allowed,0,22,3,2063,0,9
Points Allowed,0,23,6,2020,0,9
Points Allowed,0,24,6,2020,0,19
Points Allowed,0,25,6,2021,0,9
Points Allowed,0,26,6,2024,0,1
Points Allowed,0,27,6,2026,0,18
Points Allowed,0,28,6,2026,0,17
Points Allowed,0,29,6,2035,0,6
Points Allowed,0,30,6,2038,0,21
Points Allowed,0,31,6,2038,0,26
Points Allowed,0,32,6,2046,0,8
Points Allowed,0,33,6,2048,0,3
Points Allowed,0,34,6,2048,0,19
Points Allowed,0,35,6,2048,0,25
Points Allowed,0,36,6,2054,0,13
Points Allowed,0,37,6,2056,0,19
Points Allowed,0,38,6,2063,0,15
Points Allowed,0,39,6,2069,0,24
Points Allowed,0,40,7,2020,0,29
Points Allowed,0,41,7,2037,0,31
Points Allowed,0,42,7,2039,0,5
Points Allowed,0,43,7,2041,0,24
Points Allowed,0,44,7,2043,0,17
Points Allowed,0,45,7,2044,0,16
Points Allowed,0,46,7,2049,0,26
Points Allowed,0,47,7,2049,0,21
Points Allowed,0,48,7,2054,0,25
Points Allowed,0,49,7,2058,0,24
Points Allowed,0,50,7,2059,0,22
Points Allowed,0,51,7,2063,0,1
Points Allowed,0,52,7,2064,0,25
Points Allowed,0,53,9,2020,0,16
Points Allowed,0,54,9,2022,0,4
Points Allowed,0,55,9,2022,0,24
Points Allowed,0,56,9,2027,0,9
Points Allowed,0,57,9,2036,0,19
Points Allowed,0,58,9,2043,0,9
Points Allowed,0,59,9,2043,0,6
Points Allowed,0,60,9,2047,0,26
Points Allowed,0,61,9,2050,0,21
Points Allowed,0,62,9,2050,0,29
Points Allowed,0,63,9,2055,0,17
Points Allowed,0,64,9,2056,0,5
Points Allowed,0,65,10,2023,0,24
Points Allowed,0,66,10,2024,0,24
Points Allowed,0,67,10,2024,0,15
Points Allowed,0,68,10,2025,0,4
Points Allowed,0,69,10,2027,0,22
Points Allowed,0,70,10,2033,0,15
Points Allowed,0,71,10,2034,0,7
Points Allowed,0,72,10,2034,0,27
Points Allowed,0,73,10,2035,0,9
Points Allowed,0,74,10,2035,0,21
Points Allowed,0,75,10,2036,0,26
Points Allowed,0,76,10,2037,0,26
Points Allowed,0,77,10,2037,0,29
Points Allowed,0,78,10,2040,0,27
Points Allowed,0,79,10,2041,0,7
Points Allowed,0,80,10,2041,0,29
Points Allowed,0,81,10,2041,0,25
Points Allowed,0,82,10,2041,0,28
Points Allowed,0,83,10,2042,0,10
Points Allowed,0,84,10,2042,0,15
Points Allowed,0,85,10,2042,0,13
Points Allowed,0,86,10,2042,0,23
Points Allowed,0,87,10,2044,0,18
Points Allowed,0,88,10,2046,0,23
Points Allowed,0,89,10,2048,0,10
Points Allowed,0,90,10,2048,0,9
Points Allowed,0,91,10,2052,0,3
Points Allowed,0,92,10,2054,0,5
Points Allowed,0,93,10,2055,0,1
Points Allowed,0,94,10,2057,0,5
Points Allowed,0,95,10,2058,0,26
Points Allowed,0,96,10,2058,0,17
Points Allowed,0,97,10,2059,0,25
Points Allowed,0,98,10,2061,0,27
Points Allowed,0,99,10,2061,0,25
Passing Yards,0,0,435,2043,0,25
Passing Yards,0,1,405,2039,0,30
Passing Yards,0,2,404,2039,0,22
Passing Yards,0,3,402,2067,0,24
Passing Yards,0,4,393,2038,0,8
Passing Yards,0,5,392,2046,0,1
Passing Yards,0,6,390,2066,0,9
Passing Yards,0,7,389,2022,0,26
Passing Yards,0,8,388,2035,0,24
Passing Yards,0,9,388,2044,0,19
Passing Yards,0,10,384,2064,0,27
Passing Yards,0,11,380,2059,0,21
Passing Yards,0,12,378,2038,0,26
Passing Yards,0,13,369,2028,0,14
Passing Yards,0,14,364,2043,0,6
Passing Yards,0,15,363,2033,0,24
Passing Yards,0,16,362,2020,0,25
Passing Yards,0,17,362,2024,0,10
Passing Yards,0,18,360,2059,0,26
Passing Yards,0,19,359,2039,0,25
Passing Yards,0,20,359,2046,0,24
Passing Yards,0,21,357,2034,0,1
Passing Yards,0,22,356,2023,0,22
Passing Yards,0,23,356,2034,0,23
Passing Yards,0,24,355,2059,0,6
Passing Yards,0,25,353,2067,0,17
Passing Yards,0,26,352,2053,0,28
Passing Yards,0,27,350,2050,0,29
Passing Yards,0,28,350,2067,0,1
Passing Yards,0,29,349,2065,0,21
Passing Yards,0,30,348,2028,0,1
Passing Yards,0,31,348,2047,0,24
Passing Yards,0,32,348,2050,0,23
Passing Yards,0,33,347,2040,0,3
Passing Yards,0,34,345,2045,0,11
Passing Yards,0,35,344,2027,0,29
Passing Yards,0,36,344,2040,0,29
Passing Yards,0,37,344,2064,0,16
Passing Yards,0,38,341,2038,0,21
Passing Yards,0,39,341,2039,0,15
Passing Yards,0,40,340,2068,0,29
Passing Yards,0,41,340,2068,0,16
Passing Yards,0,42,338,2028,0,4
Passing Yards,0,43,338,2059,0,18
Passing Yards,0,44,337,2037,0,11
Passing Yards,0,45,337,2043,0,4
Passing Yards,0,46,336,2053,0,17
Passing Yards,0,47,335,2028,0,27
Passing Yards,0,48,335,2054,0,8
Passing Yards,0,49,334,2044,0,26
Passing Yards,0,50,333,2053,0,26
Passing Yards,0,51,332,2042,0,5
Passing Yards,0,52,332,2047,0,2
Passing Yards,0,53,332,2064,0,25
Passing Yards,0,54,330,2052,0,25
Passing Yards,0,55,330,2062,0,25
Passing Yards,0,56,330,2065,0,26
Passing Yards,0,57,329,2041,0,26
Passing Yards,0,58,329,2063,0,5
Passing Yards,0,59,328,2032,0,10
Passing Yards,0,60,328,2045,0,24
Passing Yards,0,61,328,2048,0,21
Passing Yards,0,62,327,2066,0,5
Passing Yards,0,63,326,2043,0,1
Passing Yards,0,64,326,2047,0,21
Passing Yards,0,65,326,2047,0,24
Passing Yards,0,66,326,2065,0,26
Passing Yards,0,67,325,2026,0,24
Passing Yards,0,68,325,2062,0,4
Passing Yards,0,69,324,2045,0,26
Passing Yards,0,70,323,2046,0,25
Passing Yards,0,71,322,2024,0,14
Passing Yards,0,72,321,2040,0,9
Passing Yards,0,73,320,2045,0,25
Passing Yards,0,74,317,2059,0,25
Passing Yards,0,75,316,2038,0,13
Passing Yards,0,76,316,2043,0,25
Passing Yards,0,77,315,2046,0,24
Passing Yards,0,78,315,2050,0,26
Passing Yards,0,79,315,2055,0,2
Passing Yards,0,80,314,2021,0,21
Passing Yards,0,81,314,2033,0,12
Passing Yards,0,82,314,2038,0,26
Passing Yards,0,83,313,2038,0,5
Passing Yards,0,84,313,2049,0,26
Passing Yards,0,85,313,2063,0,25
Passing Yards,0,86,312,2020,0,24
Passing Yards,0,87,312,2028,0,26
Passing Yards,0,88,312,2030,0,24
Passing Yards,0,89,312,2043,0,24
Passing Yards,0,90,312,2060,0,24
Passing Yards,0,91,311,2037,0,25
Passing Yards,0,92,311,2040,0,27
Passing Yards,0,93,311,2062,0,29
Passing Yards,0,94,309,2047,0,18
Passing Yards,0,95,309,2048,0,25
Passing Yards,0,96,309,2058,0,25
Passing Yards,0,97,309,2058,0,23
Passing Yards,0,98,309,2059,0,2
Passing Yards,0,99,309,2067,0,30
Passing Yards Allowed,0,0,55,2062,0,8
Passing Yards Allowed,0,1,74,2064,0,4
Passing Yards Allowed,0,2,77,2036,0,5
Passing Yards Allowed,0,3,82,2052,0,25
Passing Yards Allowed,0,4,84,2049,0,4
Passing Yards Allowed,0,5,86,2059,0,21
Passing Yards Allowed,0,6,96,2056,0,25
Passing Yards Allowed,0,7,101,2041,0,29
Passing Yards Allowed,0,8,103,2021,0,21
Passing Yards Allowed,0,9,104,2050,0,21
Passing Yards Allowed,0,10,105,2040,0,14
Passing Yards Allowed,0,11,106,2063,0,30
Passing Yards Allowed,0,12,111,2030,0,24
Passing Yards Allowed,0,13,111,2068,0,26
Passing Yards Allowed,0,14,112,2027,0,29
Passing Yards Allowed,0,15,113,2063,0,9
Passing Yards Allowed,0,16,114,2044,0,26
Passing Yards Allowed,0,17,115,2060,0,26
Passing Yards Allowed,0,18,117,2038,0,21
Passing Yards Allowed,0,19,118,2031,0,5
Passing Yards Allowed,0,20,118,2053,0,12
Passing Yards Allowed,0,21,118,2053,0,24
Passing Yards Allowed,0,22,118,2061,0,24
Passing Yards Allowed,0,23,118,2068,0,16
Passing Yards Allowed,0,24,119,2053,0,25
Passing Yards Allowed,0,25,120,2038,0,7
Passing Yards Allowed,0,26,120,2038,0,26
Passing Yards Allowed,0,27,122,2052,0,14
Passing Yards Allowed,0,28,123,2066,0,7
Passing Yards Allowed,0,29,126,2048,0,9
Passing Yards Allowed,0,30,128,2024,0,24
Passing Yards Allowed,0,31,129,2042,0,10
Passing Yards Allowed,0,32,129,2046,0,1
Passing Yards Allowed,0,33,129,2069,0,12
Passing Yards Allowed,0,34,130,2035,0,2
Passing Yards Allowed,0,35,130,2035,0,18
Passing Yards Allowed,0,36,132,2036,0,26
Passing Yards Allowed,0,37,133,2030,0,25
Passing Yards Allowed,0,38,133,2035,0,9
Passing Yards Allowed,0,39,133,2052,0,17
Passing Yards Allowed,0,40,134,2053,0,25
Passing Yards Allowed,0,41,135,2051,0,2
Passing Yards Allowed,0,42,135,2063,0,6
Passing Yards Allowed,0,43,135,2063,0,1
Passing Yards Allowed,0,44,136,2049,0,21
Passing Yards Allowed,0,45,139,2020,0,18
Passing Yards Allowed,0,46,139,2062,0,13
Passing Yards Allowed,0,47,140,2053,0,31
Passing Yards Allowed,0,48,140,2065,0,29
Passing Yards Allowed,0,49,141,2039,0,6
Passing Yards Allowed,0,50,142,2031,0,26
Passing Yards Allowed,0,51,142,2031,0,17
Passing Yards Allowed,0,52,142,2047,0,21
Passing Yards Allowed,0,53,143,2035,0,24
Passing Yards Allowed,0,54,143,2037,0,28
Passing Yards Allowed,0,55,144,2023,0,21
Passing Yards Allowed,0,56,145,2026,0,23
Passing Yards Allowed,0,57,145,2042,0,20
Passing Yards Allowed,0,58,146,2020,0,24
Passing Yards Allowed,0,59,146,2026,0,18
Passing Yards Allowed,0,60,146,2036,0,9
Passing Yards Allowed,0,61,146,2044,0,25
Passing Yards Allowed,0,62,147,2065,0,25
Passing Yards Allowed,0,63,148,2022,0,25
Passing Yards Allowed,0,64,148,2029,0,24
Passing Yards Allowed,0,65,148,2030,0,26
Passing Yards Allowed,0,66,148,2049,0,11
Passing Yards Allowed,0,67,148,2061,0,11
Passing Yards Allowed,0,68,149,2023,0,24
Passing Yards Allowed,0,69,149,2039,0,5
Passing Yards Allowed,0,70,150,2028,0,17
Passing Yards Allowed,0,71,150,2040,0,4
Passing Yards Allowed,0,72,151,2033,0,15
Passing Yards Allowed,0,73,151,2052,0,25
Passing Yards Allowed,0,74,151,2052,0,24
Passing Yards Allowed,0,75,152,2062,0,23
Passing Yards Allowed,0,76,152,2064,0,25
Passing Yards Allowed,0,77,152,2068,0,3
Passing Yards Allowed,0,78,154,2028,0,1
Passing Yards Allowed,0,79,154,2059,0,7
Passing Yards Allowed,0,80,155,2022,0,23
Passing Yards Allowed,0,81,155,2041,0,24
Passing Yards Allowed,0,82,156,2020,0,16
Passing Yards Allowed,0,83,156,2024,0,9
Passing Yards Allowed,0,84,156,2028,0,16
Passing Yards Allowed,0,85,156,2042,0,9
Passing Yards Allowed,0,86,156,2043,0,27
Passing Yards Allowed,0,87,156,2055,0,24
Passing Yards Allowed,0,88,156,2064,0,16
Passing Yards Allowed,0,89,156,2068,0,14
Passing Yards Allowed,0,90,157,2031,0,2
Passing Yards Allowed,0,91,157,2042,0,4
Passing Yards Allowed,0,92,157,2048,0,19
Passing Yards Allowed,0,93,157,2056,0,29
Passing Yards Allowed,0,94,158,2022,0,18
Passing Yards Allowed,0,95,158,2028,0,24
Passing Yards Allowed,0,96,158,2041,0,18
Passing Yards Allowed,0,97,158,2056,0,24
Passing Yards Allowed,0,98,158,2057,0,5
Passing Yards Allowed,0,99,158,2060,0,5
Rushing Yards,0,0,265,2032,0,19
Rushing Yards,0,1,250,2035,0,18
Rushing Yards,0,2,241,2036,0,25
Rushing Yards,0,3,232,2021,0,12
Rushing Yards,0,4,231,2041,0,24
Rushing Yards,0,5,229,2049,0,28
Rushing Yards,0,6,215,2056,0,24
Rushing Yards,0,7,213,2064,0,24
Rushing Yards,0,8,211,2059,0,26
Rushing Yards,0,9,210,2061,0,25
