Category,Team/All_Teams,Place,Record,Year,Team,Opponent
Points Scored,0,0,34,2062,0,18
Points Scored,0,1,33,2040,0,11
Points Scored,0,2,29,2043,0,21
Points Scored,0,3,28,2040,0,15
Points Scored,0,4,27,2046,0,18
Points Scored,0,5,27,2048,0,10
Points Scored,0,6,27,2064,0,17
Points Scored,0,7,26,2044,0,15
Points Scored,0,8,24,2035,0,10
Points Scored,0,9,24,2062,0,10
Points Scored,0,10,23,2040,0,29
Points Scored,0,11,23,2040,0,4
Points Scored,0,12,22,2038,0,18
Points Scored,0,13,21,2046,0,24
Points Scored,0,14,21,2061,0,18
Points Scored,0,15,19,2059,0,7
Points Scored,0,16,17,2024,0,25
Points Scored,0,17,17,2039,0,4
Points Scored,0,18,17,2043,0,15
Points Scored,0,19,17,2048,0,5
Points Scored,0,20,17,2064,0,10
Points Scored,0,21,16,2058,0,27
Points Scored,0,22,15,2022,0,25
Points Scored,0,23,15,2022,0,15
Points Scored,0,24,13,2039,0,29
Points Scored,0,25,13,2056,0,7
Points Scored,0,26,12,2069,0,27
Points Scored,0,27,10,2044,0,7
Points Scored,0,28,9,2041,0,21
Points Scored,0,29,8,2045,0,21
Points Scored,0,30,6,2036,0,10
Points Allowed,0,0,7,2040,0,11
Points Allowed,0,1,7,2044,0,15
Points Allowed,0,2,10,2022,0,25
Points Allowed,0,3,14,2039,0,4
Points Allowed,0,4,14,2041,0,21
Points Allowed,0,5,14,2048,0,5
Points Allowed,0,6,16,2043,0,21
Points Allowed,0,7,17,2040,0,29
Points Allowed,0,8,17,2046,0,18
Points Allowed,0,9,17,2064,0,17
Points Allowed,0,10,19,2040,0,4
Points Allowed,0,11,19,2045,0,21
Points Allowed,0,12,20,2039,0,29
Points Allowed,0,13,20,2040,0,15
Points Allowed,0,14,20,2058,0,27
Points Allowed,0,15,22,2059,0,7
Points Allowed,0,16,23,2069,0,27
Points Allowed,0,17,24,2024,0,25
Points Allowed,0,18,26,2046,0,24
Points Allowed,0,19,27,2022,0,15
Points Allowed,0,20,27,2036,0,10
Points Allowed,0,21,27,2061,0,18
Points Allowed,0,22,31,2035,0,10
Points Allowed,0,23,31,2038,0,18
Points Allowed,0,24,31,2062,0,18
Points Allowed,0,25,34,2048,0,10
Points Allowed,0,26,36,2044,0,7
Points Allowed,0,27,36,2062,0,10
Points Allowed,0,28,37,2056,0,7
Points Allowed,0,29,37,2064,0,10
Points Allowed,0,30,48,2043,0,15
Passing Yards,0,0,360,2035,0,10
Passing Yards,0,1,359,2046,0,24
Passing Yards,0,2,332,2044,0,15
Passing Yards,0,3,315,2038,0,18
Passing Yards,0,4,305,2064,0,10
Passing Yards,0,5,301,2048,0,10
Passing Yards,0,6,298,2040,0,15
Passing Yards,0,7,298,2062,0,10
Passing Yards,0,8,293,2062,0,18
Passing Yards,0,9,292,2043,0,15
Passing Yards,0,10,285,2022,0,15
Passing Yards,0,11,279,2040,0,4
Passing Yards,0,12,276,2036,0,10
Passing Yards,0,13,274,2046,0,18
Passing Yards,0,14,263,2058,0,27
Passing Yards,0,15,262,2048,0,5
Passing Yards,0,16,260,2040,0,11
Passing Yards,0,17,257,2059,0,7
Passing Yards,0,18,254,2039,0,4
Passing Yards,0,19,240,2061,0,18
Passing Yards,0,20,235,2039,0,29
Passing Yards,0,21,229,2041,0,21
Passing Yards,0,22,227,2069,0,27
Passing Yards,0,23,209,2064,0,17
Passing Yards,0,24,192,2040,0,29
Passing Yards,0,25,187,2043,0,21
Passing Yards,0,26,179,2056,0,7
Passing Yards,0,27,172,2044,0,7
Passing Yards,0,28,154,2045,0,21
Passing Yards,0,29,148,2024,0,25
Passing Yards,0,30,137,2022,0,25
Passing Yards Allowed,0,0,123,2069,0,27
Passing Yards Allowed,0,1,138,2040,0,11
Passing Yards Allowed,0,2,144,2039,0,4
Passing Yards Allowed,0,3,144,2062,0,18
Passing Yards Allowed,0,4,154,2040,0,29
Passing Yards Allowed,0,5,162,2046,0,18
Passing Yards Allowed,0,6,164,2024,0,25
Passing Yards Allowed,0,7,174,2048,0,10
Passing Yards Allowed,0,8,177,2059,0,7
Passing Yards Allowed,0,9,180,2043,0,15
Passing Yards Allowed,0,10,190,2064,0,17
Passing Yards Allowed,0,11,196,2022,0,15
Passing Yards Allowed,0,12,198,2022,0,25
Passing Yards Allowed,0,13,200,2045,0,21
Passing Yards Allowed,0,14,204,2039,0,29
Passing Yards Allowed,0,15,218,2064,0,10
Passing Yards Allowed,0,16,219,2041,0,21
Passing Yards Allowed,0,17,222,2038,0,18
Passing Yards Allowed,0,18,229,2036,0,10
Passing Yards Allowed,0,19,234,2035,0,10
Passing Yards Allowed,0,20,240,2043,0,21
Passing Yards Allowed,0,21,240,2044,0,15
Passing Yards Allowed,0,22,271,2058,0,27
Passing Yards Allowed,0,23,283,2048,0,5
Passing Yards Allowed,0,24,289,2044,0,7
Passing Yards Allowed,0,25,296,2056,0,7
Passing Yards Allowed,0,26,302,2062,0,10
Passing Yards Allowed,0,27,319,2061,0,18
Passing Yards Allowed,0,28,322,2046,0,24
Passing Yards Allowed,0,29,328,2040,0,4
Passing Yards Allowed,0,30,355,2040,0,15
Rushing Yards,0,0,162,2062,0,18
Rushing Yards,0,1,152,2043,0,21
Rushing Yards,0,2,142,2024,0,25
Rushing Yards,0,3,139,2040,0,29
Rushing Yards,0,4,136,2061,0,18
Rushing Yards,0,5,132,2039,0,29
Rushing Yards,0,6,132,2048,0,10
Rushing Yards,0,7,130,2040,0,11
Rushing Yards,0,8,127,2022,0,25
Rushing Yards,0,9,119,2044,0,15
Rushing Yards,0,10,105,2022,0,15
Rushing Yards,0,11,102,2044,0,7
Rushing Yards,0,12,100,2064,0,17
Rushing Yards,0,13,99,2041,0,21
Rushing Yards,0,14,98,2043,0,15
Rushing Yards,0,15,94,2038,0,18
Rushing Yards,0,16,94,2048,0,5
Rushing Yards,0,17,93,2069,0,27
Rushing Yards,0,18,90,2059,0,7
Rushing Yards,0,19,80,2046,0,18
Rushing Yards,0,20,76,2040,0,4
Rushing Yards,0,21,73,2046,0,24
Rushing Yards,0,22,72,2035,0,10
Rushing Yards,0,23,70,2064,0,10
Rushing Yards,0,24,68,2036,0,10
Rushing Yards,0,25,52,2039,0,4
