Category,Team/All_Teams,Place,Record,Year,Team
Points Scored,0,0,275,2064,0
Points Scored,0,1,251,2038,0
Points Scored,0,2,245,2058,0
Points Scored,0,3,234,2037,0
Points Scored,0,4,229,2044,0
Points Scored,0,5,228,2039,0
Points Scored,0,6,228,2065,0
Points Scored,0,7,227,2024,0
Points Scored,0,8,226,2046,0
Points Scored,0,9,221,2047,0
Points Scored,0,10,220,2043,0
Points Scored,0,11,220,2059,0
Points Scored,0,12,218,2035,0
Points Scored,0,13,218,2045,0
Points Scored,0,14,216,2036,0
Points Scored,0,15,216,2050,0
Points Scored,0,16,214,2021,0
Points Scored,0,17,214,2062,0
Points Scored,0,18,213,2061,0
Points Scored,0,19,211,2041,0
Points Scored,0,20,210,2042,0
Points Scored,0,21,210,2048,0
Points Scored,0,22,210,2068,0
Points Scored,0,23,205,2060,0
Points Scored,0,24,198,2032,0
Points Scored,0,25,198,2034,0
Points Scored,0,26,198,2040,0
Points Scored,0,27,198,2055,0
Points Scored,0,28,196,2031,0
Points Scored,0,29,187,2022,0
Points Scored,0,30,184,2063,0
Points Scored,0,31,183,2049,0
Points Scored,0,32,181,2027,0
Points Scored,0,33,181,2028,0
Points Scored,0,34,178,2067,0
Points Scored,0,35,175,2023,0
Points Scored,0,36,175,2051,0
Points Scored,0,37,172,2069,0
Points Scored,0,38,171,2056,0
Points Scored,0,39,168,2033,0
Points Scored,0,40,166,2053,0
Points Scored,0,41,164,2029,0
Points Scored,0,42,154,2020,0
Points Scored,0,43,151,2052,0
Points Scored,0,44,151,2066,0
Points Scored,0,45,150,2025,0
Points Scored,0,46,150,2054,0
Points Scored,0,47,138,2030,0
Points Scored,0,48,137,2026,0
Points Scored,0,49,133,2057,0
Points Allowed,0,0,148,2041,0
Points Allowed,0,1,159,2061,0
Points Allowed,0,2,163,2020,0
Points Allowed,0,3,167,2024,0
Points Allowed,0,4,168,2069,0
Points Allowed,0,5,171,2048,0
Points Allowed,0,6,176,2049,0
Points Allowed,0,7,185,2035,0
Points Allowed,0,8,185,2043,0
Points Allowed,0,9,188,2022,0
Points Allowed,0,10,188,2040,0
Points Allowed,0,11,190,2062,0
