Team,Opponent,Wins,Losses,Ties
0,1,13,11,0
0,2,2,10,0
0,3,8,5,0
0,4,12,18,0
0,5,16,12,0
0,6,6,6,0
0,7,3,24,0
0,8,8,4,0
0,9,17,9,0
0,10,8,19,0
0,11,4,10,0
0,12,3,10,0
0,13,6,5,1
0,14,6,7,0
0,15,16,14,0
0,16,3,10,0
0,17,13,11,0
0,18,18,10,0
0,19,10,3,0
0,20,1,11,0
0,21,15,13,1
0,22,3,8,1
0,23,6,6,0
0,24,47,53,1
0,25,50,52,0
0,26,45,53,2
0,27,9,16,0
0,28,7,6,0
0,29,15,14,0
0,30,6,6,0
0,31,10,3,0
1,0,11,13,0
1,2,5,7,0
1,3,3,10,0
1,4,47,54,1
1,5,13,11,1
1,6,5,7,0
1,7,8,22,0
1,8,8,5,0
1,9,16,17,0
1,10,12,12,0
1,11,4,8,0
1,12,5,6,1
1,13,8,5,0
1,14,3,10,0
1,15,20,9,0
1,16,4,9,0
1,17,51,52,0
1,18,16,9,1
1,19,6,7,0
1,20,7,6,0
1,21,9,19,0
1,22,3,9,0
1,23,5,8,0
1,24,12,10,1
1,25,14,16,0
1,26,12,14,0
1,27,60,39,2
1,28,8,3,1
1,29,15,13,1
1,30,9,3,0
1,31,7,5,0
2,0,10,2,0
2,1,7,5,0
2,3,21,3,0
2,4,5,7,0
2,5,12,2,0
2,6,55,47,1
2,7,8,7,0
2,8,8,13,0
2,9,6,7,0
2,10,8,6,0
2,11,13,25,0
2,12,19,9,0
2,13,20,10,1
2,14,11,16,0
2,15,9,5,0
2,16,19,9,0
2,17,11,1,0
2,18,5,8,0
2,19,15,15,0
2,20,17,11,0
2,21,8,6,0
2,22,53,48,1
2,23,20,12,0
2,24,7,4,1
2,25,6,6,0
2,26,6,6,0
2,27,8,4,0
2,28,8,14,0
2,29,7,5,1
2,30,72,28,1
2,31,14,16,0
3,0,5,8,0
3,1,10,3,0
3,2,3,21,0
3,4,6,6,1
3,5,6,6,0
3,6,14,12,0
3,7,7,5,0
3,8,16,11,0
3,9,6,6,0
3,10,6,7,0
3,11,11,17,0
3,12,12,11,1
3,13,9,19,0
3,14,54,47,0
3,15,7,5,0
3,16,55,47,0
