Year,Team,Playoff_Performance,Average_Attendance,Percent_of_Capacity_(of_1000),TV_Contract_(all_money_is_in_thousands),Ticket_Revenue,Suite_Revenue,Salary_Cost,Bonuses,Concessions,Parking,Advertising,Staff_Cost,Maintenance,Stadium_Payments,Overall_Performance,Franchise_Value,Profit,Season_Tickets_Sold,Capacity,Top_Quarterback,Top_Rusher,Top_Receiver,Top_Tackler,Coach,Quarterback_Passing_Yardage,Rusher_Yardage,Receiver_Yardage,Tackles
2069,0,Wild Card,59100,788,189840,219070,101420,221430,184130,41180,10470,52550,35550,21780,106280,46,2657760,51900,48000,75000,32452,42648,39400,42306,700,2534,1255,842,119
2069,1,None,60900,985,189840,253980,218530,255100,79440,22130,13370,94040,58160,20050,0,62,2591310,379140,53900,61800,32457,39248,40251,43304,881,2879,834,832,94
2069,2,Won Conference,69000,924,189840,343630,135480,174890,320990,56520,24710,92290,72880,18410,0,74,3122860,255300,57800,74600,38351,40921,38522,42482,1032,3672,707,1209,104
2069,3,None,78800,991,189840,310650,151410,141410,225820,31150,17640,79700,56880,26860,0,68,2857090,329420,70100,79500,41757,42623,41976,42331,835,2097,799,1603,117
2069,4,Division,77800,996,189840,389360,215420,137900,365460,31820,18300,91550,118030,18810,0,72,2819120,296090,67300,78100,40887,42626,42743,34771,991,3514,970,941,122
2069,5,None,37700,482,189840,122410,62160,151880,356090,12270,5350,37660,48060,12960,0,24,2088240,-139300,32900,78200,37475,36718,42791,39770,944,1924,515,868,89
2069,6,None,67000,998,189840,352010,146700,129330,391780,38230,21920,103830,62800,24320,0,62,3550000,244300,64000,67100,32461,42632,38591,36609,956,2341,662,1158,107
2069,7,None,58900,948,189840,238850,61180,257790,114340,20060,12110,67880,91520,24340,0,33,2534360,101930,50500,62100,38356,37550,41090,39816,916,3122,498,987,93
2069,8,Wild Card,20700,270,189840,69600,43710,160390,361060,6360,2930,15770,26700,19490,0,27,2197390,-239430,18900,76600,39219,40062,37672,42364,799,3918,686,917,68
2069,9,None,75500,925,189840,244710,93560,260020,147020,39030,12390,63930,49410,27560,0,41,2657760,159450,66400,81600,40035,43434,41936,43333,542,3357,1531,758,95
2069,10,Champion,76400,997,189840,387410,162380,284900,181460,35010,20140,91100,107140,21160,0,83,3502540,291220,69500,76600,35862,37530,36881,39877,792,3710,1137,1279,120
2069,11,Wild Card,58700,989,189840,276560,69170,193220,180290,20270,8810,76090,40760,22730,15860,56,2705220,187880,50400,59300,40011,39247,36072,38299,897,3997,812,1282,106
2069,12,None,78000,998,189840,312780,142830,220630,172960,67940,28300,120110,78380,19520,0,78,3455080,370310,73700,78100,38312,40957,41991,38953,806,2636,708,1453,85
2069,13,Conference,84500,995,189840,307460,185460,135970,336560,57690,24650,74570,57710,29410,0,79,3189310,280020,78400,84900,33318,41810,38554,36435,825,1155,767,892,105
2069,14,None,56400,908,189840,171180,94900,182770,253910,17840,6580,60100,41100,22860,0,35,2496390,39800,47500,62100,36686,39228,41927,43144,668,2441,1014,1163,107
2069,15,None,55400,961,189840,203320,178690,212110,228280,27150,12780,87550,87370,19730,0,42,3151340,151840,49500,57600,39190,37561,38518,42333,938,3519,802,1091,97
2069,16,None,60500,832,189840,165750,57900,130550,283950,12340,10090,50320,38150,20280,0,35,2368250,13310,50900,72700,35855,37564,36872,42403,788,2811,778,1477,112
2069,17,None,51600,1000,189840,228990,129400,190380,322580,18540,10020,81560,56850,25780,0,31,2800140,62760,48200,51600,40027,39274,37620,38925,761,2556,765,570,118
2069,18,None,77900,997,189840,294100,145900,192220,325860,41730,18400,96390,56030,19340,0,51,3426610,192910,69600,78100,34186,41824,39438,43153,865,1766,564,941,87
2069,19,Division,56800,986,189840,262390,117070,203480,145370,30400,14320,90430,200610,18770,0,58,2771660,136220,48900,57600,33339,41797,36879,38094,751,2961,1045,1215,110
2069,20,None,64700,993,189840,213890,131930,241360,178030,16930,11780,76280,29760,27110,0,38,2619790,164390,61800,65100,36660,42614,41023,38940,1063,3765,1106,921,72
2069,21,Wild Card,68600,977,189840,202840,67140,173050,303770,9210,3660,54350,43390,24280,0,36,2297060,-17450,59100,70200,38324,40104,40238,39978,937,3310,1164,716,95
2069,22,None,63700,966,189840,222440,145160,240870,224510,29650,8230,65300,53480,22560,0,40,2505880,119200,51400,65900,32465,43462,39429,38933,1054,3665,575,1122,90
2069,23,None,73900,994,189840,217150,85900,214460,210570,37780,21670,80380,52830,22320,0,60,3284230,132540,63300,74300,37520,40105,37749,43149,1006,2094,868,930,126
2069,24,None,78400,1000,189840,240570,100000,180280,277530,44650,17050,108780,55090,19520,0,46,3170320,168470,74700,78400,35009,40082,38516,41583,950,2342,753,1058,104
2069,25,None,80100,928,189840,220920,112360,194010,208790,39130,15180,65300,41630,22560,0,51,2762170,175740,67100,86300,39189,40956,41072,39936,919,2682,671,933,95
2069,26,None,48800,739,189840,92480,24110,236640,224140,1710,1600,25810,47000,15940,0,22,2007550,-188170,39300,66000,40050,41806,41806,36413,1076,2365,1827,560,114
2069,27,Conference,23000,290,189840,86490,39410,243510,186620,1900,2680,20850,33270,13040,0,23,1656350,-135270,21200,79200,41725,39268,40226,39012,941,1964,637,959,102
2069,28,Division,78300,1000,189840,309770,226600,218440,273660,75380,30930,106000,74790,22660,0,84,3436100,348970,75100,78300,30812,41802,42803,41522,764,3728,797,948,118
2069,29,Division,75700,958,189840,214410,146630,216570,234210,40270,23100,82970,63230,16460,0,67,3008960,166750,60600,79000,40891,41821,42798,38928,1053,3341,1098,796,95
2069,30,None,22400,293,189840,82250,39360,206040,246330,3290,2630,20040,72050,15100,0,19,2026540,-202110,20600,76400,38322,42619,40240,40654,896,3171,466,1067,140
2069,31,None,62500,930,189840,202610,101340,174460,378710,19380,8570,59480,69360,21400,0,25,2515380,-62710,48800,67200,42574,43431,40282,40808,947,3382,1080,1020,111
2068,0,None,57800,770,186760,199540,89630,240890,157230,36180,9200,53000,34980,21380,106280,32,2623970,20090,48300,75000,32452,42648,41089,42306,700,4090,1189,874,88
2068,1,None,61600,996,186760,255190,222280,192080,280160,22240,13430,94940,54100,19730,0,55,2539930,248770,54700,61800,32457,39248,40251,43304,881,2570,885,816,99
2068,2,None,68500,918,186760,286000,118650,227950,153090,50160,21920,90210,69310,17960,0,66,2978820,285390,57000,74600,34195,37561,38522,42482,1032,2822,656,832,120
2068,3,Conference,78800,991,186760,318550,159050,124310,368350,32660,18780,76890,49240,25840,0,67,2717350,224950,69600,79500,30815,34240,41976,42331,835,3776,871,939,125
2068,4,None,77200,988,186760,348470,190800,140800,354700,28350,16310,91820,56050,18390,0,51,2689340,292570,67300,78100,40887,42626,34359,39120,938,3351,869,1168,106
2068,5,None,35600,455,186760,113970,58150,149990,319410,11250,5580,36160,31570,12500,0,16,2068360,-101600,32200,78200,35046,36718,40237,34855,913,1781,986,898,86
2068,6,Division,67000,998,186760,377620,161440,119740,359510,40920,23470,100570,59210,23480,0,82,3464390,328840,63300,67100,32461,42632,36883,38950,956,3626,1149,889,97
2068,7,None,61100,983,186760,240880,66010,174960,407780,20940,12650,71160,44030,24330,0,22,2614640,-52700,52000,62100,38356,40971,37714,40706,944,3704,818,784,100
2068,8,Wild Card,21300,278,186760,67900,43960,162640,239680,6370,3340,15480,54450,18870,0,26,2087040,-151830,18900,76600,39219,40062,37672,40756,799,4055,730,1141,101
2068,9,Division,77800,953,186760,248800,93310,239370,214020,38370,15130,61710,45090,26560,0,54,2764040,119040,64900,81600,38312,39274,37720,42343,542,3777,1323,760,94
2068,10,Champion,76500,998,186760,378740,157010,315850,102110,33260,18830,100350,82370,21370,0,89,3557770,353250,72600,76600,35862,37530,36881,38161,792,3116,1199,795,108
2068,11,Won Conference,57800,974,186760,326940,80690,171570,224660,22600,9990,70170,71040,21650,15860,63,2483900,192370,48200,59300,40011,39247,34405,42347,897,3474,990,1017,114
2068,12,Wild Card,78000,998,186760,322620,146020,223260,214250,69340,28440,125150,76500,19440,0,77,3417700,344880,76700,78100,36636,42615,41991,37441,806,3949,739,1021,78
2068,13,None,84700,997,186760,251540,150960,167660,323930,47380,20250,73040,57800,28730,0,60,3399030,151810,77700,84900,33318,41810,40240,41689,825,2488,762,807,86
2068,14,None,57700,929,186760,165460,102240,157150,244950,18140,6680,60790,39800,22530,0,38,2250450,75640,48300,62100,36686,40925,41927,38292,668,3585,668,1095,110
2068,15,None,55200,958,186760,206350,178750,164380,258540,27330,12650,90550,65200,19440,0,46,3044180,194830,50100,57600,39190,40061,38518,42333,1054,2960,595,1044,100
2068,16,None,61900,851,186760,188990,63490,163420,291180,18800,11350,57180,45610,20000,0,34,2642650,6360,52100,72700,35855,37564,36872,42403,788,2089,677,1177,121
2068,17,None,51600,1000,186760,215710,125300,235520,203670,18200,9830,79670,56770,25110,0,42,2642650,114400,47700,51600,32439,42605,36073,39826,761,1915,789,927,126
2068,18,None,77900,997,186760,293550,149100,190180,211570,42130,18290,97400,55160,19050,0,63,3165580,311270,70300,78100,34186,41824,37747,42401,865,3150,714,1038,107
2068,19,None,57100,991,186760,253000,114100,143790,329380,28650,13260,95190,91730,18820,0,35,2773380,107240,51200,57600,33339,33339,36879,42501,656,2940,606,950,92
2068,20,None,50700,1000,186760,168080,78700,255620,221830,6900,7800,62880,126760,24950,50710,12,2418540,-168750,46800,50700,36660,42614,36837,38940,1063,3178,872,894,86
