Stage,Year,Player_ID,Transaction,Team,Position_Group,Money,Years/Original_Position,Original_Team/Destination_Position/Misc.
Pre-Staff Draft,2065,26666,retired,28,QB,0,0,0
Pre-Staff Draft,2065,26676,retired,20,QB,0,0,0
Pre-Staff Draft,2065,26909,retired,29,C,0,0,0
Pre-Staff Draft,2065,27059,retired,31,P,0,0,0
Pre-Staff Draft,2065,27073,retired,17,P,0,0,0
Pre-Staff Draft,2065,27089,retired,0,K,0,0,0
Pre-Staff Draft,2065,27743,retired,14,C,0,0,0
Pre-Staff Draft,2065,27759,retired,13,C,0,0,0
Pre-Staff Draft,2065,27915,retired,2,K,0,0,0
Pre-Staff Draft,2065,28586,retired,1,C,0,0,0
Pre-Staff Draft,2065,28587,retired,25,C,0,0,0
Pre-Staff Draft,2065,29341,retired,13,WR,0,0,0
Pre-Staff Draft,2065,29442,retired,30,C,0,0,0
Pre-Staff Draft,2065,29468,retired,6,G,0,0,0
Pre-Staff Draft,2065,29488,retired,17,G,0,0,0
Pre-Staff Draft,2065,29674,retired,19,DT,0,0,0
Pre-Staff Draft,2065,29700,retired,13,DT,0,0,0
Pre-Staff Draft,2065,29710,retired,4,DT,0,0,0
Pre-Staff Draft,2065,29942,retired,25,S,0,0,0
Pre-Staff Draft,2065,29951,retired,21,S,0,0,0
Pre-Staff Draft,2065,30120,retired,5,TE,0,0,0
Pre-Staff Draft,2065,30168,retired,25,WR,0,0,0
Pre-Staff Draft,2065,30172,retired,21,WR,0,0,0
Pre-Staff Draft,2065,30178,retired,28,WR,0,0,0
Pre-Staff Draft,2065,30186,retired,13,WR,0,0,0
Pre-Staff Draft,2065,30211,retired,20,WR,0,0,0
Pre-Staff Draft,2065,30238,retired,26,C,0,0,0
Pre-Staff Draft,2065,30241,retired,30,C,0,0,0
Pre-Staff Draft,2065,30322,retired,16,G,0,0,0
Pre-Staff Draft,2065,30470,retired,16,DE,0,0,0
Pre-Staff Draft,2065,30573,retired,6,DE,0,0,0
Pre-Staff Draft,2065,30623,retired,7,OLB,0,0,0
Pre-Staff Draft,2065,30649,retired,27,CB,0,0,0
Pre-Staff Draft,2065,30660,retired,24,CB,0,0,0
Pre-Staff Draft,2065,30745,retired,12,S,0,0,0
Pre-Staff Draft,2065,31083,retired,7,G,0,0,0
Pre-Staff Draft,2065,31447,retired,16,OLB,0,0,0
Pre-Staff Draft,2065,31730,retired,3,FB,0,0,0
Pre-Staff Draft,2065,31953,retired,4,G,0,0,0
Pre-Staff Draft,2065,32296,retired,0,OLB,0,0,0
Pre-Staff Draft,2065,32353,retired,17,CB,0,0,0
Pre-Staff Draft,2065,32354,retired,2,CB,0,0,0
Pre-Staff Draft,2065,32407,retired,1,S,0,0,0
Pre-Staff Draft,2065,32553,retired,7,FB,0,0,0
Pre-Staff Draft,2065,32596,retired,20,C,0,0,0
Pre-Staff Draft,2065,32949,retired,28,DE,0,0,0
Pre-Staff Draft,2065,32955,retired,5,DE,0,0,0
Pre-Staff Draft,2065,33071,retired,4,OLB,0,0,0
Pre-Staff Draft,2065,33122,retired,25,OLB,0,0,0
Pre-Staff Draft,2065,35738,retired,21,CB,0,0,0
Staff Draft,2065,36404,changed primary position,0,OLB,0,WILB,SLB
Staff Draft,2065,34789,changed primary position,1,ILB,0,MLB,WILB
Staff Draft,2065,38043,changed primary position,1,DE,0,RDT,RDE
Staff Draft,2065,38881,changed primary position,1,DE,0,RDT,RDE
Staff Draft,2065,34748,changed primary position,5,DT,0,NT,RDT
Staff Draft,2065,39723,changed primary position,6,DT,0,NT,RDT
Staff Draft,2065,39786,changed primary position,6,OLB,0,SILB,WLB
Staff Draft,2065,33880,changed primary position,8,DT,0,NT,RDT
Staff Draft,2065,38940,changed primary position,12,ILB,0,WILB,MLB
Staff Draft,2065,39774,changed primary position,13,OLB,0,SILB,SLB
Staff Draft,2065,34784,changed primary position,14,OLB,0,SILB,WLB
Staff Draft,2065,31375,changed primary position,16,ILB,0,SILB,MLB
Staff Draft,2065,38089,changed primary position,16,ILB,0,WILB,MLB
Staff Draft,2065,39724,changed primary position,16,DT,0,NT,LDT
Staff Draft,2065,33927,changed primary position,18,ILB,0,MLB,SILB
Staff Draft,2065,39770,changed primary position,24,ILB,0,WILB,MLB
Staff Draft,2065,33029,changed primary position,25,DE,0,LDT,RDE
Staff Draft,2065,33934,changed primary position,25,ILB,0,MLB,SILB
Staff Draft,2065,38030,changed primary position,25,DE,0,LDT,RDE
Staff Draft,2065,38939,changed primary position,25,ILB,0,MLB,SILB
Staff Draft,2065,32990,changed primary position,29,DE,0,RDT,LDE
Staff Draft,2065,39795,changed primary position,29,ILB,0,MLB,WILB
Staff Draft,2065,33018,changed primary position,30,DT,0,NT,RDT
Staff Draft,2065,34790,changed primary position,30,OLB,0,SILB,WLB
Staff Draft,2065,36434,changed primary position,30,ILB,0,WILB,MLB
FA Stage 1,2065,30815,released,1,QB,0,0,0
FA Stage 1,2065,34672,released,15,DE,0,0,0
FA Stage 1,2065,32833,released,16,T,0,0,0
FA Stage 1,2065,29969,released,17,QB,0,0,0
FA Stage 1,2065,36032,released,18,WR,0,0,0
FA Stage 1,2065,32316,released,20,CB,0,0,0
FA Stage 1,2065,27449,released,21,QB,0,0,0
FA Stage 1,2065,36487,released,22,OLB,0,0,0
FA Stage 1,2065,32295,released,30,OLB,0,0,0
FA Stage 1,2065,33899,released,0,DT,0,0,0
FA Stage 1,2065,36026,released,0,WR,0,0,0
FA Stage 1,2065,34047,released,0,CB,0,0,0
FA Stage 1,2065,34445,released,0,C,0,0,0
FA Stage 1,2065,33992,released,0,OLB,0,0,0
FA Stage 1,2065,37792,released,0,G,0,0,0
FA Stage 1,2065,36826,released,0,TE,0,0,0
FA Stage 1,2065,33810,released,0,DE,0,0,0
FA Stage 1,2065,33805,released,0,DT,0,0,0
